
25,-0.1604236363762149,0.07669453602598757,0.7850977396068239,-5.517667394168832,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
26,0.14552071397119845,0.06934120706020698,0.7938054925400216,2.756922396249721,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,FINAL
26,0.14552071397119845,0.06934120706020698,0.7938054925400216,2.756922396249721,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
25,-0.15926095711663468,0.07521663023399999,0.7875006092224289,-4.718726159593969,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
26,0.14851668748290522,0.06799716060988431,0.7973998008553427,2.592117150851229,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,FINAL
26,0.14851668748290522,0.06799716060988431,0.7973998008553427,2.592117150851229,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
25,-0.1580982778570545,0.0737387244420124,0.7899034788380339,-3.9197849250191066,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
26,0.151512660994612,0.06665311415956163,0.8009941091706638,2.427311905452737,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,FINAL
26,0.151512660994612,0.06665311415956163,0.8009941091706638,2.427311905452737,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
25,-0.1557930684605801,0.0663649632343481,0.7946299274347348,-2.6717024359631143,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
26,nan,nan,nan,nan,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,FINAL
26,nan,nan,nan,nan,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
25,-0.15348785906410575,0.05899120202668377,0.7993563760314357,-1.4236199469071218,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
26,nan,nan,nan,nan,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,FINAL
26,nan,nan,nan,nan,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
25,-0.1520526289559759,0.03241516158910932,0.7888887458380439,-2.277253509171331,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,ORIG
26,0.15233406236018734,5.1202207801233966e-05,0.8074800184571364,0.8864671549759845,"['Starting Time:', '15:34:13']"

ID,X,Y,Z,Yaw,FINAL
